ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
aillent	aj	aller	VER	9992.77	5.93	0	7	0	2	1	VER
faculté	fakylte	faculté	NOM	8.73	5.93	1	7	7	7	3	NOM
indiens	5dj5	indien	NOM	12.99	5.92	0	7	0	3	2	ADJ,NOM
salades	salad	salade	NOM	21.8	5.92	0	7	0	5	2	NOM
allongé	al§Ze	allonger	VER	41.05	5.92	0	7	7	5	3	VER,ADJ
couchée	kuSe	coucher	VER	181.96	5.92	0	7	0	4	2	VER,ADJ
donnais	donE	donner	VER	1209.67	5.91	0	7	0	0	2	VER
graines	gREn	graine	NOM	11.41	5.9	0	7	0	4	1	NOM
spatial	spasjal	spatial	ADJ	10.94	5.9	1	7	7	7	2	ADJ,NOM
inspiré	5spiRe	inspirer	VER	26.56	5.89	0	7	7	6	3	VER,ADJ,NOM
ignores	iNOR	ignorer	VER	156.55	5.89	0	7	0	0	2	VER
enverra	@vERa	envoyer	VER	360.16	5.89	0	7	0	0	3	VER
décolle	dekOl	décoller	VER	21.15	5.89	0	7	0	0	2	VER
auteurs	ot9R	auteur	NOM	23.52	5.88	0	7	0	3	2	NOM
enculer	@kyle	enculer	VER	15.43	5.88	1	7	7	5	3	VER
implore	5plOR	implorer	VER	11.88	5.87	0	7	0	0	2	VER
étendre	et@dR	étendre	VER	21.9	5.87	1	7	6	5	2	VER
sauveur	sov9R	sauveur	NOM	6.93	5.87	1	7	6	4	2	NOM
dizaine	dizEn	dizaine	NOM	11.08	5.87	1	7	7	5	2	NOM
danseur	d@s9R	danseur	NOM	23.05	5.85	1	7	6	4	2	NOM
envoler	@vole	envoler	VER	28.82	5.85	1	7	6	3	3	VER
glaçons	glas§	glaçon	NOM	7.4	5.85	0	7	0	5	2	VER,NOM
épousée	epuze	épouser	VER	118.78	5.85	0	7	6	5	3	VER,NOM
costaud	kOsto	costaud	ADJ	6.98	5.84	1	7	6	5	2	ADJ,NOM
cachait	kaSE	cacher	VER	204.13	5.84	0	7	0	4	2	VER
bougent	buZ	bouger	VER	211.9	5.84	0	7	0	3	1	VER
tournoi	tuRnwa	tournoi	NOM	6.86	5.84	1	7	7	6	2	NOM
remonté	R°m§te	remonter	VER	71.33	5.83	0	7	0	6	3	VER
cuisine	k8izin	cuisiner	VER	27.13	5.82	0	7	7	6	2	NOM,VER
poussin	pus5	poussin	NOM	7.5	5.81	1	7	7	4	2	NOM
chèvres	SEvR	chèvre	NOM	14.08	5.81	0	7	0	4	1	NOM
diables	djabl	diable	NOM	93.34	5.8	0	7	0	5	1	NOM
échangé	eS@Ze	échanger	VER	27.38	5.79	0	7	0	5	3	VER
pourrir	puRiR	pourrir	VER	22.86	5.79	1	7	7	5	2	VER
dénoncé	den§se	dénoncer	VER	29.57	5.78	0	7	0	6	3	VER
faciles	fasil	facile	ADJ	159.35	5.78	0	7	0	5	2	ADJ
déchets	deSE	déchet	NOM	7.04	5.77	0	7	0	4	2	NOM
maximum	maksimOm	maximum	ADJ	5.8	5.77	1	7	6	7	3	ADJ,NOM
informe	5fORm	informer	VER	37.42	5.76	0	7	7	5	2	ADJ,VER
trouble	tRubl	trouble	NOM	12.84	5.76	1	7	7	5	1	ADJ,NOM,VER
soupçon	sups§	soupçon	NOM	15.53	5.75	1	7	7	5	2	NOM
partagé	paRtaZe	partager	VER	79.08	5.73	0	7	7	7	3	VER,ADJ
peuples	p9pl	peuple	NOM	111.36	5.71	0	7	0	0	1	NOM
assumer	asyme	assumer	VER	12.83	5.7	1	7	5	4	3	VER
cruauté	kRyote	cruauté	NOM	5.8	5.7	1	7	4	4	3	NOM
mouillé	muje	mouiller	VER	19.36	5.7	0	7	7	4	2	VER,ADJ
ressort	R°sOR	ressort	NOM	6.95	5.69	1	7	7	5	2	NOM,VER
souhait	swE	souhait	NOM	10.41	5.69	1	7	7	3	1	NOM
exercer	EgzERse	exercer	VER	14.53	5.67	1	7	6	7	3	VER
orteils	ORtEj	orteil	NOM	9.71	5.67	0	7	0	4	2	NOM
aborder	abORde	aborder	VER	12.55	5.65	1	7	6	6	3	VER
ballons	bal§	ballon	NOM	32.92	5.65	0	7	0	4	2	VER,NOM
couvert	kuvER	couvert	NOM	7.98	5.65	1	7	7	5	2	ADJ,NOM,VER
finirai	finiRE	finir	VER	557.61	5.65	0	7	0	0	3	VER
presser	pRese	presser	VER	52.28	5.64	1	7	7	5	2	VER
pousses	pus	pousser	VER	125.61	5.63	0	7	0	3	1	NOM,VER
signaux	siNo	signal	NOM	39.61	5.63	0	7	0	0	2	NOM
adapter	adapte	adapter	VER	13.44	5.63	1	7	6	6	3	VER
ramassé	Ramase	ramasser	VER	43.76	5.62	0	7	7	6	3	VER,ADJ
soucier	susje	soucier	VER	22.45	5.62	1	7	7	5	2	VER
mettant	mEt@	mettre	VER	1004.83	5.61	0	7	0	0	2	VER
stérile	steRil	stérile	ADJ	7.07	5.59	1	7	7	6	2	ADJ
